DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2024-05-27 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-27.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-28 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-28.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-29 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-29.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-30 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-30.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-05-31 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/5/2024-05-31.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-01 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-01.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-03 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-03.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-04 11:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-04.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-04 16:00,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-04.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-05 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-05.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-06 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-06.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-07 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-07.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-10 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-10.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-12 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-12.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
2024-06-13 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/6/2024-06-13.pdf,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0
